,Modernism By Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
86,years-1937,0.031363612,5.29E-07,4.93E-08,9.19E-07,0.000118796,2.83E-05,0.015760771,0.020583576,0.084400748,0.002202541,4.95E-08,9.70E-05,0.001427113,2.08E-06,1.74E-06,0.073893462,0.000235088,9.11E-07,8.78E-07,0.000421122,2.05E-07,0.724235787,1.21E-06,0.038283725,0.000258205,0.004462156,2.77E-07,9.89E-08,4.73E-07,0.002218519
85,waves-1931,0.001566456,7.81E-07,7.29E-08,0.00013937,3.05E-06,0.008046542,0.036403376,0.045117961,0.32419395,0.00484219,7.32E-08,5.37E-06,0.000211422,0.011112991,2.58E-06,0.063522744,2.40E-06,1.35E-06,1.30E-06,1.31E-06,3.02E-07,0.315606815,1.80E-06,0.189172678,2.06E-06,3.89E-05,4.10E-07,1.46E-07,6.99E-07,8.98E-07
84,voyageOut-1915,0.031378291,5.23E-07,4.88E-08,9.09E-07,2.04E-06,0.005571901,0.128850565,0.084697741,0.139847351,0.031792717,4.90E-08,0.032827895,2.95E-06,0.000117551,1.72E-06,0.168812667,0.001664766,2.40E-05,8.69E-07,8.77E-07,2.02E-07,0.342570733,1.20E-06,0.031433959,1.38E-06,0.000395647,2.74E-07,9.79E-08,4.68E-07,6.01E-07
83,orlando-1928,0.000521689,8.20E-07,7.65E-08,0.000218785,0.018007774,0.014860608,0.079592621,0.044799808,0.294816555,0.049099289,7.69E-08,0.007685658,4.62E-06,3.22E-06,2.70E-06,0.104625257,0.001161767,0.000363679,0.008188552,1.38E-06,3.17E-07,0.222295379,1.88E-06,0.152542943,0.000581787,0.000439354,4.30E-07,1.53E-07,7.34E-07,0.000182076
82,nightAndDay-1919,7.76E-06,4.39E-07,4.09E-08,7.63E-07,1.71E-06,4.14E-06,0.201926895,0.086687778,0.069978276,0.03793905,4.11E-08,0.091870016,2.47E-06,0.001183479,0.002016243,0.280407184,0.000214451,2.01E-05,7.28E-07,7.35E-07,1.70E-07,0.222059004,1.01E-06,0.001042476,0.002325923,2.48E-06,2.30E-07,8.21E-08,3.93E-07,0.002305897
81,lighthouse-1927,0.032032603,1.06E-06,9.93E-08,1.85E-06,5.12E-05,0.009459043,0.102297502,0.043468129,0.213666994,0.00890094,9.97E-08,0.000101338,6.00E-06,0.01373108,9.75E-05,0.135721722,3.27E-06,1.83E-06,1.77E-06,1.78E-06,4.12E-07,0.374540543,2.45E-06,0.065475935,2.81E-06,0.000429106,5.59E-07,1.99E-07,9.52E-07,1.22E-06
80,jacobsRoom-1922,0.00878947,1.12E-06,1.04E-07,1.94E-06,4.36E-06,0.014298285,0.030550309,0.037032797,0.266892594,0.034011838,1.05E-07,7.67E-06,0.000696043,5.36E-05,3.68E-06,0.07109814,0.00724584,1.92E-06,0.001036483,0.0021204,4.32E-07,0.430172974,0.000396708,0.083105993,0.00029855,0.009268712,5.85E-07,2.09E-07,0.000493679,0.002415421
79,dalloway-1925,0.055641697,1.09E-06,1.02E-07,1.90E-06,0.01250964,1.03E-05,0.09352872,0.096163815,0.19705113,0.031159218,1.02E-07,0.001552581,6.16E-06,4.29E-06,0.00096927,0.081361495,0.005604219,1.88E-06,1.82E-06,1.83E-06,4.23E-07,0.373773671,2.51E-06,0.043349249,2.88E-06,0.007296956,5.74E-07,2.05E-07,9.78E-07,1.26E-06
78,betweenActs-1941,0.027636761,1.34E-06,1.25E-07,0.000239355,0.000420026,0.006293736,0.025306954,0.035177463,0.314951065,0.013352711,1.26E-07,0.000779544,0.001133417,5.27E-06,0.003204215,0.05546815,4.12E-06,2.31E-06,0.015408631,2.25E-06,5.19E-07,0.372791337,3.08E-06,0.12561022,0.001484923,0.000718648,7.04E-07,2.51E-07,1.20E-06,1.54E-06
77,dorianGray-1891,0.008811632,9.44E-07,8.80E-08,1.64E-06,0.015967938,0.007178234,0.074572766,0.186179807,0.023806564,0.010559819,8.84E-08,0.045106546,0.001380831,0.013300304,0.016675961,0.066569938,2.90E-06,1.63E-06,1.57E-06,1.58E-06,3.65E-07,0.229637819,2.17E-06,0.058263716,2.49E-06,0.241261467,0.000709091,1.77E-07,8.45E-07,1.09E-06
